time,high,low,open,close
1613051820,47723.29,47536.86,47723.29,47553.83
1613051880,47553.84,47423.76,47553.83,47457.05
1613051940,47541.16,47428.86,47457.05,47539.34
1613052000,47596.92,47528.91,47539.34,47589.13
1613052060,47744.04,47585.81,47589.13,47700.23
1613052120,47715.1,47641.35,47700.23,47647.93
1613052180,47671.63,47579.83,47647.93,47579.83
1613052240,47580.39,47409.97,47579.83,47488.41
1613052300,47503.21,47420.39,47488.41,47426.72
1613052360,47461.75,47387.8,47426.72,47420.2
1613052420,47452.83,47402.21,47420.2,47432.89
1613052480,47479.79,47306.86,47432.89,47324.39
1613052540,47404.92,47301.22,47324.39,47359.38
1613052600,47360.84,47282.77,47359.38,47313.84
1613052660,47368.18,47300.32,47313.84,47368.18
1613052720,47440.92,47366.12,47368.18,47366.12
1613052780,47418.38,47339.88,47366.12,47409.09
1613052840,47425.94,47386.5,47409.09,47409.46
1613052900,47504.59,47406.87,47409.46,47497.83
1613052960,47497.83,47423.17,47497.83,47463.66
1613053020,47525.79,47456.45,47463.66,47525.79
1613053080,47533.62,47458.84,47525.79,47494.49
1613053140,47505.6,47480.9,47494.49,47505.34
1613053200,47601.53,47505.34,47505.34,47522.07
1613053260,47576.07,47499.01,47522.07,47561.08
1613053320,47744.99,47556.57,47561.08,47743.24
1613053380,47760.86,47717.16,47743.24,47744.63
1613053440,47793.41,47744.63,47744.63,47788.09
1613053500,47824.31,47766.94,47788.09,47781.64
1613053560,47791.55,47764.44,47781.64,47765.41
1613053620,47816.92,47754.9,47765.41,47789.66
1613053680,47790.7,47721.63,47789.66,47722.3
1613053740,47758.9,47699.56,47722.3,47699.91
1613053800,47759.59,47694.2,47699.91,47742.56
1613053860,47796.19,47732.42,47742.56,47792.61
1613053920,47840.68,47782.26,47792.61,47836.66
1613053980,47854.5,47823.97,47836.66,47849.93
1613054040,47944.56,47849.67,47849.93,47944.43
1613054100,47952.65,47888.79,47944.43,47912.6
1613054160,47935.75,47886.63,47912.6,47935.75
1613054220,48029.86,47935.35,47935.75,48029.86
1613054280,48070.45,48008.67,48029.86,48059.14
1613054340,48060.17,47992.92,48059.14,48004.35
1613054400,48024.22,47925.09,48004.35,47934.21
1613054460,48009.74,47934.21,47934.21,47965.11
1613054520,47965.77,47889.56,47965.11,47913.19
1613054580,47933.53,47905.47,47913.19,47916.56
1613054640,47990.01,47913.2,47916.56,47958.25
1613054700,47995.97,47958.25,47958.25,47970.54
1613054760,48026.65,47928.65,47970.54,48014.05
1613054820,48043.66,47993.99,48014.05,48039.38
1613054880,48155.46,48037.24,48039.38,48100.93
1613054940,48105.97,48083.96,48100.93,48091.62
1613055000,48094.13,47988.59,48091.62,48015.64
1613055060,48020.49,47932.87,48015.64,47933.13
1613055120,47936.43,47860.34,47933.13,47861.74
1613055180,47877.17,47841.74,47861.74,47853.77
1613055240,47881.83,47844.19,47853.77,47869.41
1613055300,47914.18,47865.95,47869.41,47910.49
1613055360,47922.42,47879.71,47910.49,47884.77
1613055420,47917.24,47884.77,47884.77,47914.78
1613055480,47916.7,47891.17,47914.78,47891.75
1613055540,47933.35,47889.32,47891.75,47920.39
1613055600,48048.76,47916.71,47920.39,48048.45
